video_id,scenario_id,scenario_type,time,ed_mean,ed_median,ed_max,ed,ade,fd,hd
776,34,single_passes_oncoming_group_on_right_on_walkway,19.247822999999997,0.48,0.43,0.92,0.40,0.30,0.67,0.67
776,35,single_no_interaction_on_crosswalk;major_cut_entrance_corner;left_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,20.932900000000004,2.69,2.51,5.36,2.69,10.58,1.01,1.01
776,36,group_no_interaction_on_crosswalk,13.955905000000001,2.02,2.25,2.57,1.65,4.44,2.55,2.55
776,37,group_no_interaction_on_crosswalk;minor_cut_entrance_corner;minor_cut_exit_corner,7.965631000000002,1.40,1.52,1.66,1.02,2.05,1.65,1.66
776,38,single_overtakes_single_on_left_on_walkway,0.5348460000000017,0.47,0.51,0.77,0.09,0.27,0.75,0.77
776,39,single_no_interaction_on_walkway,33.59132000000001,0.42,0.34,1.27,0.42,0.33,0.68,0.68
776,40,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,21.923245999999992,1.05,0.93,2.09,0.98,1.57,1.84,1.84
776,41,single_passes_oncoming_single_on_left_on_walkway,27.957443000000012,0.40,0.29,1.11,0.38,0.26,0.88,0.88
776,42,single_passes_oncoming_group_on_right_on_walkway,17.720769000000004,0.56,0.42,1.14,0.51,0.41,1.08,1.08
776,43,single_no_interaction_on_crosswalk;major_cut_entrance_corner;left_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;left_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,16.926373999999996,2.14,2.21,4.04,2.14,5.98,2.91,2.91
776,44,group_no_interaction_on_crosswalk,21.928009000000003,4.60,3.03,9.78,3.33,29.77,9.74,9.74
776,46,single_passes_oncoming_single_on_left_on_walkway,74.374071,0.88,0.11,2.55,0.88,1.64,1.56,1.56
776,47,single_no_interaction_on_walkway,9.974268999999993,1.96,2.06,3.30,1.47,5.04,0.48,0.47
776,48,single_no_interaction_on_crosswalk;walk_around_car_stopped_in_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,15.97525300000001,0.92,0.92,1.54,0.69,1.04,1.37,1.37
776,49,single_no_interaction_on_walkway,16.23326399999999,1.62,1.68,1.91,1.38,2.71,1.35,1.35
776,50,group_no_interaction_on_walkway,23.96302800000001,1.36,1.44,2.30,1.19,1.96,2.28,2.30
